audio,caption
./Cat/cat_4.wav,A cat meowing once with a small amount of background noise
./Cat/cat_5.wav,A cat quietly meowing and a cat loudly purring
./Cat/cat_6.wav,A cat quietly meowing and a cat loudly purring
./Cat/cat_7.wav,A cat quietly meowing and a cat purring at various volumes
./Cat/cat_9.wav,A cat meowing once
./Cat/cat_10.wav,A cat meowing frequently
./Cat/cat_14.wav,A kitten meowing frequently at a high pitch
./Cat/cat_16.wav,A cat meowing and a cat purring
./Cat/cat_20.wav,A cat loudly meowing and a cat very softly purring
./Cat/cat_33.wav,A cat screaming and a cat hissing
./Cat/cat_35.wav,A cat meowing harshly
./Cat/cat_63.wav,A cat meowing with purring underneath
./Cat/cat_64.wav,A kitten meowing frequently
./Cat/cat_66.wav,A cat producing a drawn-out meow
./Cat/cat_67.wav,A cat meowing low quality
./Cat/cat_68.wav,A cat meowing low quality
./Cat/cat_79.wav,A cat meowing and a toy rattling
./Cat/cat_87.wav,A cat briefly meowing and a cat briefly purring
./Cat/cat_88.wav,A cat briefly meowing and a cat purring
./Cat/cat_89.wav,A cat purring and a cat slightly meowing
./Cat/cat_94.wav,A kitten meowing with a small amount of background noise
./Cat/cat_95.wav,A kitten meowing with a small amount of background noise
./Cat/cat_96.wav,A kitten meowing with a small amount of background noise
./Cat/cat_100.wav,A cat meowing with a small amount of background noise
./Cat/cat_111.wav,A cat meowing with purring underneath
./Cat/cat_124.wav,A cat meowing once
./Cat/cat_126.wav,A cat screaming and a cat hissing
./Cat/cat_127.wav,A cat hissing and a cat screaming
./Cat/cat_128.wav,A cat hissing and a cat screaming
./Cat/cat_161.wav,A cat meowing and a cat purring
./Cat/cat_162.wav,A cat purring and a cat slightly meowing
./Cat/cat_197.wav,A cat meowing with purring underneath
