audio,caption
./data/dataset/Cat/cat_4.wav,A cat meowing once with a small amount of background noise
./data/dataset/Cat/cat_5.wav,A cat quietly meowing and a cat loudly purring
./data/dataset/Cat/cat_6.wav,A cat quietly meowing and a cat loudly purring
./data/dataset/Cat/cat_7.wav,A cat quietly meowing and a cat purring at various volumes
./data/dataset/Cat/cat_9.wav,A cat meowing once
./data/dataset/Cat/cat_10.wav,A cat meowing frequently
./data/dataset/Cat/cat_14.wav,A kitten meowing frequently at a high pitch
./data/dataset/Cat/cat_16.wav,A cat meowing and a cat purring
./data/dataset/Cat/cat_20.wav,A cat loudly meowing and a cat very softly purring
./data/dataset/Cat/cat_33.wav,A cat screaming and a cat hissing
./data/dataset/Cat/cat_35.wav,A cat meowing harshly
./data/dataset/Cat/cat_63.wav,A cat meowing with purring underneath
./data/dataset/Cat/cat_64.wav,A kitten meowing frequently
./data/dataset/Cat/cat_66.wav,A cat producing a drawn-out meow
./data/dataset/Cat/cat_67.wav,A cat meowing low quality
./data/dataset/Cat/cat_68.wav,A cat meowing low quality
./data/dataset/Cat/cat_79.wav,A cat meowing and a toy rattling
./data/dataset/Cat/cat_87.wav,A cat briefly meowing and a cat briefly purring
./data/dataset/Cat/cat_88.wav,A cat briefly meowing and a cat purring
./data/dataset/Cat/cat_89.wav,A cat purring and a cat slightly meowing
./data/dataset/Cat/cat_94.wav,A kitten meowing with a small amount of background noise
./data/dataset/Cat/cat_95.wav,A kitten meowing with a small amount of background noise
./data/dataset/Cat/cat_96.wav,A kitten meowing with a small amount of background noise
./data/dataset/Cat/cat_100.wav,A cat meowing with a small amount of background noise
./data/dataset/Cat/cat_111.wav,A cat meowing with purring underneath
./data/dataset/Cat/cat_124.wav,A cat meowing once
./data/dataset/Cat/cat_126.wav,A cat screaming and a cat hissing
./data/dataset/Cat/cat_127.wav,A cat hissing and a cat screaming
./data/dataset/Cat/cat_128.wav,A cat hissing and a cat screaming
./data/dataset/Cat/cat_161.wav,A cat meowing and a cat purring
./data/dataset/Cat/cat_162.wav,A cat purring and a cat slightly meowing
./data/dataset/Cat/cat_197.wav,A cat meowing with purring underneath
